"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up"
"Aloina brevirostris" "Aloina brevirostris (Hook. & Grev.) Kindb." "SPECIES" "accepted" "Aloina brevirostris (Hook. & Grev.) Kindb." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 NA "acrocarpous" "turf" "colonist" 0 NA NA NA NA "both" "common" 6.7 NA 2 18 0 NA 0 0 0 0 0 NA 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 3 6 5 6 0 2 3 8 4 6.55 684 0 1260 2520
"Aloina humilis" "Aloina humilis M.T.Gallego, M.J.Cano & Ros" "SPECIES" "accepted" "Aloina humilis M.T.Gallego, M.J.Cano & Ros" "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54.1037354726429 "acrocarpous" NA "colonist" 0 NA NA NA NA NA "common" 6.7 NA NA NA 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 18.2 309.9 250 475 700
"Aloina obliquifolia" "Aloina obliquifolia (Müll.Hal.) Broth." "SPECIES" "accepted" "Aloina obliquifolia (Müll.Hal.) Broth." "Aloina" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" NA "No" "CR" "LC" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 NA "acrocarpous" NA "colonist" 0 NA NA NA NA NA "common" 6.7 NA NA NA 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA 2 NA 5 3 NA NA 4 NA 4 NA NA 0 100 200
"Aloina rigida" "Aloina rigida (Hedw.) Limpr." "SPECIES" "accepted" "Aloina rigida (Hedw.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 NA "acrocarpous" "annual" "colonist" 0 NA 1 1 0 "dioicous" "common" 6.7 NA 2.5 15 0 NA 0 0 0 0 0 NA 1 1 33 0 3 0 15 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 2 6 5 4 0 4 4 7 4 6.65 690.8 0 0 0
"Aloina rigida aggr." "Aloina rigida (Hedw.) Limpr." "AGGREGATE" "accepted" "Aloina rigida (Hedw.) Limpr." "Aloina" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR bis NT" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 NA "acrocarpous" "annual" "colonist" 0 NA 1 1 0 "dioicous" "common" 6.7 NA 2.5 15 0 NA 0 0 0 0 0 NA 1 1 33 0 3 0 15 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 2 6 5 4 0 4 4 7 4 6.65 690.8 0 0 0
"Alophosia azorica" "Alophosia azorica (Renauld & Cardot) Cardot" "SPECIES" "accepted" "Alophosia azorica (Renauld & Cardot) Cardot" "Alophosia" "Polytrichaceae" "Polytrichales" "Polytrichopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2614.28153417678 "acrocarpous" "turf" NA 0 NA 0 1 0 "monoicous" NA NA NA 200 NA 1 NA 1 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 16.15 1421.55 100 550 1000
"Amblyodon dealbatus" "Amblyodon dealbatus (Hedw.) P.Beauv." "SPECIES" "accepted" "Amblyodon dealbatus (Hedw.) P.Beauv." "Amblyodon" "Meesiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "DATA_DEFICIENT" 1 0 NA NA 1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 NA "acrocarpous" "turf" "colonist" 0 NA 1 NA NA "both" "common" 6.7 NA 20 40 0 NA 0 0 0 0 0 NA 1 23 11 1 4 8 3 2 4 2 1 3 0 0 0 0 0 0 0 0 0 0 7 4 7 5 3 0 1 2 8 3 4.55 724.1 0 0 0
"Amblystegium confervoides" "Amblystegium confervoides (Brid.) Schimp." "SPECIES" "synonym" "Serpoleskea confervoides (Brid.) Loeske" "Serpoleskea" "Amblystegiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "monoicous" "rare" 16.7 8 23.33 9 0 NA 0 0 0 0 0 NA 1 0 10 0 1 3 64 0 1 4 0 0 0 0 0 2 0 0 0 0 0 0 4 3 8 4 4 0 3 3 5 2 5.45 713.7 0 1050 2100
"Amblystegium radicale" "Amblystegium radicale P.Beauv." "SPECIES" "synonym" "Pseudocampylium radicale (P.Beauv.) Vanderp. & Hedenäs" "Pseudocampylium" "Amblystegiaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "VU" "LC" "NOT_EVALUATED" 1 0 NA NA 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA "pleurocarpous" "turf" "colonist" 0 "inclined" 1 NA 0 "monoicous" "common" 6.7 45 35 12 0 NA 0 0 0 0 0 NA 0 3 0 0 0 0 0 0 0 0 1 5 1 0 1 2 0 0 0 0 0 0 6 5 0 3 3 0 6 4 5 3 8.15 739.9 0 1100 2200
"Amblystegium serpens" "Amblystegium serpens (Hedw.) Schimp." "SPECIES" "accepted" "Amblystegium serpens (Hedw.) Schimp." "Amblystegium" "Amblystegiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "monoicous" "common" 16.7 23 33.33 11.5 0 NA 0 0 0 0 0 NA 1 13 222 1 18 29 173 6 4 39 1 4 1 259 1 157 0 1 0 0 0 5 4 3 6 4 6 2 0 4 5 3 5.55 709 0 1500 3000
