"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Head_length_mm" "Eye_diameter_mm" "Interorbital_dist_mm" "Internarial_dist_mm" "Eye_nostril_dist_mm" "MISSING_ALL_TRAITS"
"Discoglossus jeanneae" "Discoglossus jeanneae Busack, 1986" "SPECIES" "accepted" "Discoglossus jeanneae Busack, 1986" "Discoglossus" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "NT" "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 2041028 11.0186 60 1500 "Oviparous" 2.22 NA 13.6 "Cathemeral" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.28 5.28 NA 0.00771645352 0.16844827256 0.05867436658 0.00325904408 11.96674032126 699.709371484 6770.49151252 36.4835302112 369.350331892 NA 10.8 4.1 7.5 3 4.2192 "NO"
"Discoglossus montalentii" "Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984" "SPECIES" "accepted" "Discoglossus montalentii Lanza, Nascetti, Capula & Bullini, 1984" "Discoglossus" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" "1" "1" "0" "1" "1" "1" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 48400 17.0992 65 1000 "Oviparous" 3.646 NA 9.16 "Cathemeral" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 2 NA 0.000670767 0.005361021 0.005424179 0 13.4870538 837.8946588 5173.28398 47.51623094 180.3855586 NA 17.45 5.5 4.4 4.2 5.45 "NO"
"Discoglossus pictus" "Discoglossus pictus Otth, 1837" "SPECIES" "accepted" "Discoglossus pictus Otth, 1837" "Discoglossus" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "No" NA "LC" "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "1" "1" "0" "0" "0" 520300 22.05 80 760 "Oviparous" 4 NA 10.932 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.25 5 NA 0.008863175 0.260132731 0.023269545 0.014893632 16.67755595 469.5992878 6263.947876 47.04383926 451.4268704 NA 17.69443333326 5.3726666667 4.6304 3.89723333334 4.4288 "NO"
"Discoglossus sardus" "Discoglossus sardus Tschudi, 1837" "SPECIES" "accepted" "Discoglossus sardus Tschudi, 1837" "Discoglossus" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "0" "0" "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 133100 8.6524 70 1000 "Oviparous" 3 NA 9.208 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.25 3 NA 0.002663931 0.055473124 0.041023697 0 15.1804816 695.5635232 5149.005345 51.37613895 180.1635106 NA 16.8 5.65 4.15 3.75 5.1 "NO"
"Epidalea calamita" "Epidalea calamita (Laurenti, 1768)" "SPECIES" "accepted" "Epidalea calamita (Laurenti, 1768)" "Epidalea" "Bufonidae" "Anura" "Amphibia" "Chordata" "Amphibians" "SPEED2ZERO" "INN" "Yes" "EN" "LC" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 3182300 62.7 100 3400 "Oviparous" 3.5 NA 17 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 7 NA 0.009464153 0.183007173 0.064548165 0 10.39344917 732.0610011 6335.216393 28.28571891 314.9758565 NA 18.57006666652 5.78100000002 6.5542 3.93366666668 4.665 "NO"
"Euproctus asper" "Euproctus asper (Dugès, 1852)" "SPECIES" "synonym" "Calotriton asper (Dugès, 1852)" "Calotriton" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "Yes" NA "NT" "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "0" "0" "0" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 121000 7.1 160 25 "Oviparous" 3 NA 26 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 3 NA 0.009722856 0.168212966 0.062449521 0 11.64794494 926.7620088 5703.890661 20.89912419 616.9969724 NA 13.99969999978 4.51033333334 4.9632 3.84033333336 3.4036 "NO"
"Euproctus montanus" "Euproctus montanus (Savi, 1838)" "SPECIES" "accepted" "Euproctus montanus (Savi, 1838)" "Euproctus" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "1" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" 48400 2.5 130 60 "Oviparous" 3.5 NA 9.696 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 3 NA 0.000614716 0.0047213 0.004769384 0 13.6877031 818.7562478 5175.394269 46.99757081 153.7600523 NA 13.63106666652 4.854 4.38 3.81163333334 3.9302 "NO"
"Euproctus platycephalus" "Euproctus platycephalus (Gravenhorst, 1829)" "SPECIES" "accepted" "Euproctus platycephalus (Gravenhorst, 1829)" "Euproctus" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "EN" "VULNERABLE" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" 24200 5.1 150 220 "Oviparous" 2.5 NA 10.288 "Diurnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 5 NA 0.003117396 0.055980435 0.052803781 0 14.9531903 695.389621 5216.180045 51.00824924 289.63405 NA 12.6498 4.273 4.416 3.5246 3.4872 "NO"
"Hemitriton asper" "Hemitriton asper Dugès, 1852" "SPECIES" "homotypic synonym" "Calotriton asper (Dugès, 1852)" "Calotriton" "Salamandridae" "Caudata" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "Yes" NA "NT" "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "0" "0" "0" "1" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 121000 7.1 160 25 "Oviparous" 3 NA 26 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 3 NA 0.009722856 0.168212966 0.062449521 0 11.64794494 926.7620088 5703.890661 20.89912419 616.9969724 NA 14.3894 4.688 5.2428 4.01323333334 3.6236 "NO"
"Hydromantes ambrosii" "Hydromantes ambrosii Lanza, 1955" "SPECIES" "homotypic synonym" "Speleomantes ambrosii (Lanza, 1955)" "Speleomantes" "Plethodontidae" "Caudata" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "Yes" NA "NT" "CRITICALLY_ENDANGERED" "1" "0" "0" "0" "1" "1" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" 36300 2.26 125 10 "Oviparous" 4.5 NA 11.136 "Cathemeral" "Carnivorous" "1" "1" NA "0" "0" "0" "0" 0.5 3.12 NA 0.013054425 0.154999339 0.041556472 0 12.38258728 933.4777535 6952.991403 26.55256113 345.0361552 NA 14.87503333304 4.77633333334 5.1588 4.1878 3.5032 "NO"
