species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Foraging_strata BMR gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Abrothrix markhami" Abrothrix Cricetidae Rodentia 38 140 NA Viviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 NA 0 0.0000279712 0 0 5.182617156 2154.399114 2442.58186 9.494621912 266.3324149 NA 12100 NA NA NA "Abrothrix markhami (Pine, 1973)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix olivaceus" Abrothrix Cricetidae Rodentia 27 140 5.38 Viviparous 0.525249315068493 NA 1 Cathemeral Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0.000929957 0.010058217 0.013184164 0.129402254 9.357797411 628.0663328 4327.636929 56.0155733 765.5060923 0.145 1706100 LEAST_CONCERN 1 55.3866666666667 "Abrothrix olivaceus (Waterhouse, 1837)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrothrix sanborni" Abrothrix Cricetidae Rodentia 24.7 105 NA Viviparous NA NA NA Cathemeral Herbivorous 1 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0.00029116 0.003807868 0.014000502 0.016741209 9.6839963 2087.942743 2558.55027 42.54818834 162.558954 0.138 72600 NEAR_THREATENED 1 NA "Abrothrix sanborni (Osgood, 1943)" SPECIES Abrothrix Cricetidae Rodentia Mammalia Chordata NEAR_THREATENED
"Acerodon celebensis" Acerodon Pteropodidae Chiroptera 390 201.25 0.98 Viviparous NA NA NA Nocturnal Herbivorous 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 3 0.001787022 0.086807794 0.010730182 0 23.83707454 2382.950263 347.0904272 34.77225396 359.3631757 NA 592900 VULNERABLE 3 NA "Acerodon celebensis (Peters, 1867)" SPECIES Acerodon Pteropodidae Chiroptera Mammalia Chordata VULNERABLE
"Acerodon humilis" Acerodon Pteropodidae Chiroptera 599.6 NA NA Viviparous NA NA NA Nocturnal Herbivorous 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0.000143938 0.002891624 0.000408293 0 26.89577364 3380.449857 254.0565903 18.59240688 9.244305556 NA 12100 ENDANGERED 3 NA "Acerodon humilis K.Andersen, 1909" SPECIES Acerodon Pteropodidae Chiroptera Mammalia Chordata ENDANGERED
"Acerodon jubatus" Acerodon Pteropodidae Chiroptera 1075 NA 1 Viviparous NA NA NA Diurnal Herbivorous 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0.01026521 0.198803377 0.019861727 0 25.70031233 2331.213356 742.0660312 52.62270912 196.5924164 NA 689700 ENDANGERED 3 NA "Acerodon jubatus (Eschscholtz, 1831)" SPECIES Acerodon Pteropodidae Chiroptera Mammalia Chordata ENDANGERED
"Acerodon leucotis" Acerodon Pteropodidae Chiroptera 513.2 NA NA Viviparous NA NA NA Nocturnal Herbivorous 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0.000842486 0.040731275 0.005656695 0 26.96286693 1847.768876 492.578616 60.51053417 36.80423064 NA 108900 VULNERABLE 3 NA "Acerodon leucotis (Sanborn, 1950)" SPECIES Acerodon Pteropodidae Chiroptera Mammalia Chordata VULNERABLE
"Acerodon mackloti" Acerodon Pteropodidae Chiroptera 470.3 NA 0.98 Viviparous NA NA NA Nocturnal Herbivorous 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0.011768251 0.141655047 0.074187563 0 25.12800608 1545.134623 709.0123806 75.90902678 187.8202714 NA 350900 VULNERABLE 3 NA "Acerodon macklotii (Temminck, 1837)" SPECIES Acerodon Pteropodidae Chiroptera Mammalia Chordata VULNERABLE
"Acinonyx jubatus" Acinonyx Felidae Carnivora 46700 1400 3.16 Viviparous 1.64105479452055 3.33498630136986 20.5 Nocturnal Carnivorous 0 1 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 7 6 0.000597316 0.024608297 0.028164435 0.184363007 23.70753361 379.7773696 4197.028628 102.1294912 817.5618982 44.448 8361100 VULNERABLE 1 11121.15 "Acinonyx jubatus (Schreber, 1775)" SPECIES Acinonyx Felidae Carnivora Mammalia Chordata VULNERABLE
"Acomys airensis" Acomys Muridae Rodentia 48.3 115 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Omnivorous 1 1 0 0 0 1 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 3 5 0.000205168 0.017315963 0.0000997936 0.168319944 28.32798662 109.5804457 5376.972157 156.2594998 407.0040373 1.425 2299000 LEAST_CONCERN 1 NA "Acomys airensis Thomas & Hinton, 1921" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys cahirinus" Acomys Muridae Rodentia 52.5 125 2.45 Viviparous 0.158904109589041 0.282191780821918 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 3 3 0.000899249 0.013157886 0.000674994 0.063445811 24.09907813 45.78983784 6147.522379 155.5365737 445.5060338 0.193 5082000 LEAST_CONCERN 1 53.1416666666667 "Acomys cahirinus (É.Geoffroy, 1803)" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys cilicicus" Acomys Muridae Rodentia 42.5 175 2 Viviparous NA NA 4 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.00285139 0.098097746 0.039457643 0 13.64032569 624.2182344 7639.289908 75.99732162 530.6738056 0.2 12100 DATA_DEFICIENT 1 NA "Acomys cilicicus Spitzenberger, 1978" SPECIES Acomys Muridae Rodentia Mammalia Chordata DATA_DEFICIENT
"Acomys cineraceus" Acomys Muridae Rodentia 20.3 116 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Omnivorous 1 1 0 0 0 1 1 0 1 0 0 0 0.5 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 5 7 0.001915757 0.195831252 0.098728874 0.175563207 25.2445893 778.6254067 1932.440662 106.5059971 818.4061908 1.4 1633500 LEAST_CONCERN 1 NA "Acomys cineraceus Fitzinger & Heuglin, 1866" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys dimidiatus" Acomys Muridae Rodentia 37.5 175 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Omnivorous 1 1 0 0 0 1 1 0 1 0 0 0 0.5 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 6 8 0.004113086 0.024665474 0.000497627 0.406589694 25.46306591 117.3403066 5670.680561 96.89418233 681.663761 0.193 2637800 LEAST_CONCERN 1 NA "Acomys dimidiatus (Cretzschmar, 1826)" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys ignitus" Acomys Muridae Rodentia 24 114 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.001367011 0.125261706 0.228071429 0.045682822 23.86937346 685.4465113 1193.145377 81.48260265 670.7025623 1.425 217800 LEAST_CONCERN 1 NA "Acomys ignitus Dollman, 1910" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys johannis" Acomys Muridae Rodentia 18.5 119 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Omnivorous 1 1 0 0 0 1 1 0 1 0 0 0 0.5 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 3 3 0.003691167 0.229427683 0.103179594 0.142070355 28.13921338 802.4614314 2466.882154 113.9042695 301.2120807 1.4 689700 LEAST_CONCERN 1 NA "Acomys johannis Thomas, 1912" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys kempi" Acomys Muridae Rodentia 22 110 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.000352069 0.02844373 0.048319487 0.305786849 26.35336906 490.6563321 1150.143619 94.97741156 401.2046308 1.4 847000 LEAST_CONCERN 1 NA "Acomys kempi Dollman, 1911" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys louisae" Acomys Muridae Rodentia 20.2 95 NA Viviparous NA NA NA Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 3 3 0.000515065 0.012952216 0.001137397 0.43362433 26.53323748 290.8737131 1489.362423 104.3060675 415.3868305 1.109 1040600 LEAST_CONCERN 1 NA "Acomys louisae Thomas, 1896" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys minous" Acomys Muridae Rodentia 62.5 175 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.000734638 0.034622439 0.052287852 0 16.38469458 690.1180453 4750.805858 85.63743748 107.0802908 0.193 48400 DATA_DEFICIENT 1 NA "Acomys minous Bate, 1906" SPECIES Acomys Muridae Rodentia Mammalia Chordata DATA_DEFICIENT
"Acomys mullah" Acomys Muridae Rodentia 28.4 134 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.000495532 0.013822315 0.006522902 0.221829766 27.22584961 332.3986549 2756.00861 69.63116283 625.814837 1.425 326700 LEAST_CONCERN 1 NA "Acomys mullah Thomas, 1904" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys muzei" Acomys Muridae Rodentia 27.01 175 2.71 Viviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.00099227 0.132157498 0.118715235 0.055692893 21.79197316 973.7727396 1515.600086 93.83063485 1222.360682 1.108 641300 LEAST_CONCERN NA NA "Acomys muzei Verheyen, Hulselmans, Wendelen, Leirs, Corti, Backeljau & Verheyen, 2011" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys nesiotes" Acomys Muridae Rodentia 52.5 175 2.47 Viviparous 0.158904109589041 0.263013698630137 7.48333424657534 Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0.001353959 0.023783348 0 0 18.92646829 517.2809925 5542.375023 85.65559229 77.64244815 0.193 60500 DATA_DEFICIENT 1 NA "Acomys nesiotes Bate, 1903" SPECIES Acomys Muridae Rodentia Mammalia Chordata DATA_DEFICIENT
"Acomys ngurui" Acomys Muridae Rodentia 27.01 175 2.71 Viviparous NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000593657 0.120382211 0.14116074 0.06516241 23.61171334 1129.857081 1354.013253 87.26382114 466.4848743 1.108 399300 LEAST_CONCERN NA NA "Acomys ngurui Verheyen, Hulselmans, Wendelen, Leirs, Corti, Backeljau & Verheyen, 2011" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys percivali" Acomys Muridae Rodentia 22 111 1.5 Viviparous NA NA NA Nocturnal Herbivorous 0 1 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 3 0.001170751 0.073527623 0.168589964 0.180233883 25.22878386 668.6070495 960.0244673 58.69146593 911.3689194 1.001 411400 LEAST_CONCERN 1 NA "Acomys percivali Dollman, 1911" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys russatus" Acomys Muridae Rodentia 49.8 122 2.5 Viviparous 0.250158904109589 0.344386301369863 5 Diurnal Omnivorous 1 1 0 0 0 1 1 0 1 0 0 0 0.5 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0.004991523 0.036774147 0 0.513672209 24.14669692 105.7751507 5084.436251 102.8327143 851.9262561 1.568 1246300 LEAST_CONCERN 1 51.21375 "Acomys russatus (Wagner, 1840)" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Acomys selousi" Acomys Muridae Rodentia 27.01 NA 2.71 Viviparous NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.108 NA NA NA NA "Acomys selousi De Winton, 1896" SPECIES Acomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
