"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Acaulospora cavernata" NA NA NA NA NA NA NA NA NA NA NA NA 20 20 4188.79020478639 NA NA NA NA NA 0 NA NA NA "Acaulospora cavernata Błaszk." "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora colliculosa" NA NA NA NA NA NA NA NA NA NA NA NA 24.6 24.6 7794.78146201023 NA NA NA NA NA 0 NA NA NA "Acaulospora colliculosa Kaonongbua, J.B.Morton & Bever" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora colombiana" NA NA NA NA NA NA NA NA NA NA NA NA 60 60 113097.335529233 NA NA NA NA NA 0 NA NA NA "Acaulospora colombiana (Spain & N.C.Schenck) Kaonongbua, J.B.Morton & Bever" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora delicata" NA NA NA NA NA NA NA NA NA NA NA NA 60 70 131946.891450771 NA NA NA NA NA 0 NA NA NA "Acaulospora delicata C.Walker, C.M.Pfeiff. & Bloss" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora dilatata" NA NA NA NA NA NA NA NA NA NA NA NA 52 52 73622.1766393256 NA NA NA NA NA 0 NA NA NA "Acaulospora dilatata J.B.Morton" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora entreriana" NA NA NA NA NA NA NA NA NA NA NA NA 20 20 4188.79020478639 NA NA NA NA NA 0 NA NA NA "Acaulospora entreriana M.S.Velázquez & Cabello" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora foveata" NA NA NA NA NA NA NA NA NA NA NA NA 225 265 7024404.82388593 NA NA NA NA NA 0 NA NA NA "Acaulospora foveata Trappe & Janos" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora kentinensis" NA NA NA NA NA NA NA NA NA NA NA NA 55 115 182146.924061258 NA NA NA NA NA 0 NA NA NA "Acaulospora kentinensis (C.G.Wu & Y.S.Liu) Kaonongbua, J.B.Morton & Bever" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora koskei" NA NA NA NA NA NA NA NA NA NA NA NA 260 260 9202772.0799157 NA NA NA NA NA 0 NA NA NA "Acaulospora koskei Błaszk." "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
"Acaulospora lacunosa" NA NA NA NA NA NA NA NA NA NA NA NA 88 88 356817.904804524 NA NA NA NA NA 0 NA NA NA "Acaulospora lacunosa J.B.Morton" "SPECIES" "Acaulospora" "Acaulosporaceae" "Diversisporales" "Glomeromycetes" "Glomeromycota" "NOT_EVALUATED"
