species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Head_length_mm Eye_diameter_mm Interorbital_dist_mm Internarial_dist_mm Eye_nostril_dist_mm gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Adelotus brevis" Adelotus Limnodynastidae Anura 5.42 45 243 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 4 NA 0.005390226 0.066927144 0.025999849 0.21170769 19.11577216 828.4041776 4295.984806 42.01464759 347.2841141 NA 713900 LEAST_CONCERN NA NA NA NA NA "Adelotus brevis (Günther, 1863)" SPECIES Adelotus Limnodynastidae Anura Amphibia Chordata LEAST_CONCERN
"Adelphobates castaneoticus" Adelphobates Dendrobatidae Anura NA 22.7 7 Oviparous 0.5 NA NA Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001508816 0.045864952 0.011740237 0 25.40510835 1981.024826 656.6173582 62.6985104 191.9243742 NA 145200 LEAST_CONCERN NA NA NA NA NA "Adelphobates castaneoticus (Caldwell & Myers, 1990)" SPECIES Adelphobates Dendrobatidae Anura Amphibia Chordata LEAST_CONCERN
"Adelphobates galactonotus" Adelphobates Dendrobatidae Anura 4.1 40.5 10 Oviparous NA NA NA Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001459411 0.056334332 0.028181816 0.01396894 25.76388001 2002.206171 662.8324098 68.95296095 170.3522311 NA 798600 LEAST_CONCERN NA NA NA NA NA "Adelphobates galactonotus (Steindachner, 1864)" SPECIES Adelphobates Dendrobatidae Anura Amphibia Chordata LEAST_CONCERN
"Adelphobates quinquevittatus" Adelphobates Dendrobatidae Anura NA 17.3 6.5 Oviparous NA NA NA Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000346878 0.012949394 0.008797501 0.002062263 25.05782176 2308.66555 459.9028959 48.67199627 152.545838 NA 1718200 LEAST_CONCERN NA NA NA NA NA "Adelphobates quinquevittatus (Steindachner, 1864)" SPECIES Adelphobates Dendrobatidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera ajurauna" Adenomera Leptodactylidae NA NA 19.03 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.20159368 0.079802633 0.170421794 0 19.66517944 1692.076011 2201.692959 49.43268417 746.1945929 NA 12100 LEAST_CONCERN 7.46 2.16 NA 1.81 1.65 "Adenomera ajurauna (Berneck, Costa & Garcia, 2008)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera andreae" Adenomera Leptodactylidae Anura 2.6 32.2 NA NA NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.000457974 0.017682866 0.010922301 0.020435381 25.10122156 2346.470926 634.3884961 49.64932014 186.2948831 NA 6800200 LEAST_CONCERN NA NA NA NA NA "Adenomera andreae (Müller, 1923)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera araucaria" Adenomera Leptodactylidae Anura NA 19.9 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.004894861 0.088913138 0.072927991 0 17.53899818 1672.319058 3263.57384 17.68090905 568.7981254 NA 24200 LEAST_CONCERN NA NA NA NA NA "Adenomera araucaria Kwet & Angulo, 2002" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera bokermanni" Adenomera Leptodactylidae NA 1.49 24 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 4 NA 0.030260971 0.162324209 0.229831536 0.022054169 20.33343894 1556.686829 2221.792078 58.20003082 696.8814219 NA 447700 LEAST_CONCERN 9 2.7 2.2 NA 2 "Adenomera bokermanni (Heyer, 1973)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera chicomendesi" Adenomera Leptodactylidae NA NA 22.95 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.55 1.95 NA 2.25 1.9 "Adenomera chicomendesi Carvalho, Angulo, Kokubum, Barrera, Souza, Haddad & Giaretta, 2019" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera coca" Adenomera Leptodactylidae NA NA 24.725 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA NA NA NA NA 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000796993 0.019868295 0.064325065 0 19.34538667 2735.2272 1679.2888 60.036 1418.952067 NA 12100 LEAST_CONCERN 7.675 2.675 2.375 1.875 1.7 "Adenomera coca (Angulo & Reichle, 2008)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera cotuba" Adenomera Leptodactylidae NA NA 19.7 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000140958 0.04257139 0.016915903 0.401760588 23.45944892 1499.760013 947.252621 83.12594086 801.800672 NA 12100 NEAR_THREATENED 7.8 1.9 NA 1.7 1.6 "Adenomera cotuba Carvalho & Giaretta, 2013" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata NEAR_THREATENED
"Adenomera diptyx" Adenomera Leptodactylidae Anura 1.9 25.56 NA NA NA NA NA Cathemeral NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 7 NA 0.001278265 0.099849979 0.078711603 0.097806342 23.62139766 1336.709453 2741.891163 47.65548662 221.8640411 NA 871200 LEAST_CONCERN NA NA NA NA NA "Adenomera diptyx (Boettger, 1885)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera engelsi" Adenomera Leptodactylidae NA NA 21.75 NA NA NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.01177982 0.028674123 0.058802614 0 19.89634255 1700.826346 2957.056795 30.52378828 111.6191483 NA 12100 LEAST_CONCERN 7.64 1.96 4.24 2.28 2.03 "Adenomera engelsi Kwet, Steiner & Zillikens, 2009" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera heyeri" Adenomera Leptodactylidae NA NA 23.533333335 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000184664 0.001787046 0.0000998348 0.004369817 25.40550246 2399.180722 773.0191196 49.48531472 185.1362291 NA 350900 LEAST_CONCERN 9.6 2.7166666665 2.8333333335 2.2833333335 1.9333333335 "Adenomera heyeri Boistel, Massary & Angulo, 2006" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera hylaedactyla" Adenomera Leptodactylidae Anura 2.5 31.95 NA NA NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 NA 0.001096403 0.043746523 0.025700364 0.073826681 25.18288391 2001.817306 826.5705858 58.77302543 262.2600644 NA 10212400 LEAST_CONCERN NA NA NA NA NA "Adenomera hylaedactyla (Cope, 1868)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera juikitam" Adenomera Leptodactylidae NA NA 19.3 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000140958 0.04257139 0.016915903 0.401760588 23.45944892 1499.760013 947.252621 83.12594086 801.800672 NA 12100 LEAST_CONCERN 8.2 2.1 NA 1.8 1.6 "Adenomera juikitam Carvalho & Giaretta, 2013" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera lutzi" Adenomera Leptodactylidae NA NA 30.1 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000312538 0.003968336 0.000471802 0.009428979 22.86195808 2546.009836 556.9574898 40.15906683 573.7647652 NA 36300 ENDANGERED 11.1 3 2.4 NA 2.8 "Adenomera lutzi Heyer, 1975" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata ENDANGERED
"Adenomera marmorata" Adenomera Leptodactylidae Anura 1.75 25 NA NA NA NA NA Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.030396286 0.174352472 0.237263327 0.021728613 20.5138448 1513.090547 2203.242691 57.13540446 672.9036718 NA 447700 LEAST_CONCERN NA NA NA NA NA "Adenomera marmorata Steindachner, 1867" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera martinezi" Adenomera Leptodactylidae NA 2.4 24.5 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000826377 0.061240461 0.02711041 0.195958474 25.55010851 1782.254675 1041.23965 76.14105469 342.9963809 NA 883300 NEAR_THREATENED 9.55 2.55 NA 2.05 2.2 "Adenomera martinezi (Bokermann, 1956)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata NEAR_THREATENED
"Adenomera nana" Adenomera Leptodactylidae Anura NA 21 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.011747056 0.070460133 0.103011577 0.0000857041 19.15679495 1701.466993 3012.887774 25.78594904 464.5054225 NA 60500 LEAST_CONCERN NA NA NA NA NA "Adenomera nana (Müller, 1922)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera phonotriccus" Adenomera Leptodactylidae NA NA 20.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.6 1.9 NA 1.8 1.5 "Adenomera phonotriccus Carvalho, Giaretta, Angulo, Haddad & Peloso, 2019" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Adenomera saci" Adenomera Leptodactylidae NA NA 23.2 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 3 NA 0.000140958 0.04257139 0.016915903 0.401760588 23.45944892 1499.760013 947.252621 83.12594086 801.800672 NA 12100 LEAST_CONCERN 9.2 2.5 NA 2 1.95 "Adenomera saci Carvalho & Giaretta, 2013" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera simonstuarti" Adenomera Leptodactylidae NA 2.1 25.05 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0 0.000144379 0.00000791591 0 22.4124729 1438.204404 656.5920054 53.39498645 814.7290989 NA 12100 LEAST_CONCERN 9.065 2.645 2.515 2.365 2.11 "Adenomera simonstuarti (Angulo & Icochea, 2010)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomera thomei" Adenomera Leptodactylidae Anura NA 23.2 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.016513273 0.142930094 0.227770733 0 23.25790287 1283.954132 1710.094017 52.30625875 240.4473405 NA 72600 LEAST_CONCERN NA NA NA NA NA "Adenomera thomei (Almeida & Angulo, 2006)" SPECIES Adenomera Leptodactylidae Anura Amphibia Chordata LEAST_CONCERN
"Adenomus dasi" Adenomus Bufonidae Anura NA 27 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007388609 0.260142615 0.02980495 0 24.55483471 2140.325758 779.3764463 47.23195592 484.8056129 NA 12100 ENDANGERED NA NA NA NA NA "Adenomus kandianus (Günther, 1872)" SPECIES Adenomus Bufonidae Anura Amphibia Chordata ENDANGERED
