species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Head_length_mm Eye_diameter_mm Interorbital_dist_mm Internarial_dist_mm Eye_nostril_dist_mm gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Ichthyophis sumatranus" Ichthyophis Ichthyophiidae Gymnophiona NA 285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.002749362 0.319276261 0.061321092 0 26.08968627 2537.218543 341.8795416 26.83234621 41.7974129 NA 169400 DATA_DEFICIENT NA NA NA NA NA "Ichthyophis sumatranus Taylor, 1960" SPECIES Ichthyophis Ichthyophiidae Gymnophiona Amphibia Chordata DATA_DEFICIENT
"Ichthyophis supachaii" Ichthyophis Ichthyophiidae Gymnophiona NA 330 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.006451694 0.301341611 0.004281728 0 26.6068442 2061.852711 708.2255752 53.91868129 95.90795755 NA 72600 DATA_DEFICIENT NA NA 5.133333333 2.5 4 "Ichthyophis supachaii Taylor, 1960" SPECIES Ichthyophis Ichthyophiidae Gymnophiona Amphibia Chordata DATA_DEFICIENT
"Ichthyophis tricolor" Ichthyophis Ichthyophiidae Gymnophiona NA 330 NA NA NA NA NA Nocturnal Carnivorous 1 0 NA 0 0 0 0 1 1 1 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 4 NA 0.011589393 0.180855029 0.009092671 0 26.55767726 2223.606388 1103.034518 77.18715841 189.7531223 NA 72600 LEAST_CONCERN NA NA 6 NA 4.6 "Ichthyophis tricolor Annandale, 1909" SPECIES Ichthyophis Ichthyophiidae Gymnophiona Amphibia Chordata LEAST_CONCERN
"Ichthyophis youngorum" Ichthyophis Ichthyophiidae Gymnophiona NA 240 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.004989006 0.075800161 0.007525118 0 23.53063492 1123.691534 2483.954034 81.96441799 802.6157407 NA 12100 DATA_DEFICIENT NA NA 4.65 2.3 3.7 "Ichthyophis youngorum Taylor, 1960" SPECIES Ichthyophis Ichthyophiidae Gymnophiona Amphibia Chordata DATA_DEFICIENT
"Ichthyosaura alpestris" Ichthyosaura Salamandridae Caudata 3.9 87.5 131.5 NA 2.5 NA 20 Cathemeral NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 6 NA 0.011201256 0.159501649 0.073440532 0 9.352783825 877.6274487 6556.878149 23.8177383 479.1684485 NA 2395800 LEAST_CONCERN NA NA NA NA NA "Ichthyosaura alpestris (Laurenti, 1768)" SPECIES Ichthyosaura Salamandridae Caudata Amphibia Chordata LEAST_CONCERN
"Idiocranium russeli" Idiocranium Caeciliidae Gymnophiona NA 113 6 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.004625274 0.077665151 0.031523949 0.00047115 22.75775285 2398.192936 1166.144805 69.41845338 752.9077963 NA 36300 DATA_DEFICIENT NA NA NA NA NA "Idiocranium russeli Parker, 1936" SPECIES Idiocranium Indotyphlidae Gymnophiona Amphibia Chordata DATA_DEFICIENT
"Ikakogi ispacue" Ikakogi Centrolenidae NA NA 29.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.6 3.45 4.75 1.95 2.4 "Ikakogi ispacue Rada, Dias, Peréz-González, Anganoy-Criollo, Rueda-Solano, Pinto-E., Mejía Quintero et al., 2019" SPECIES Ikakogi Centrolenidae Anura Amphibia Chordata NOT_EVALUATED
"Ikakogi tayrona" Ikakogi Centrolenidae Anura NA 30.8 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.001729151 0.029336846 0.187964792 0.010112203 21.21578899 1538.705761 462.0834687 64.24232466 689.992045 NA 48400 VULNERABLE NA NA NA NA NA "Ikakogi tayrona (Ruiz-Carranza & Lynch, 1991)" SPECIES Ikakogi Centrolenidae Anura Amphibia Chordata VULNERABLE
"Incilius alvarius" Incilius Bufonidae Anura 237.7 165 7750 Oviparous 3 NA 15.4 Nocturnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 4 NA 0.005922165 0.075986032 0.002073529 0.259266075 21.06140142 341.626963 6584.475656 78.30546916 693.6597269 NA 605000 LEAST_CONCERN NA NA NA NA NA "Incilius alvarius (Girard, 1859)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius aucoinae" Incilius Bufonidae Anura NA 104.5 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.00341587 0.032282934 0.059429133 0 23.48440699 3571.990227 563.3020514 56.3925913 377.9233255 NA 72600 LEAST_CONCERN 21.5 NA NA NA NA "Incilius aucoinae (O'Neill & Mendelson, 2004)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius aurarius" Incilius Bufonidae NA NA 62.55 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.018663251 0.07261875 0.102322674 0 17.96427677 2316.519113 1263.662195 69.57591764 1569.574569 NA 24200 ENDANGERED 23 8.4 NA NA NA "Incilius aurarius Mendelson, Mulcahy, Snell, Acevedo & Campbell, 2012" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius bocourti" Incilius Bufonidae Anura NA 77 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 NA 0.028722411 0.106146304 0.128900993 0 18.01854294 2278.406162 976.3810106 74.05573839 1593.586988 NA 60500 LEAST_CONCERN NA NA NA NA NA "Incilius bocourti (Brocchi, 1877)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius campbelli" Incilius Bufonidae Anura NA 90 5000 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007019198 0.105976577 0.067649963 0 22.54950403 2344.670841 1427.557208 57.52446646 587.0944209 NA 84700 LEAST_CONCERN NA NA NA NA NA "Incilius campbelli (Mendelson, 1994)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius canaliferus" Incilius Bufonidae Anura NA 52 5000 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.016753641 0.163674045 0.112449481 0 23.2564698 1808.664288 940.5764428 89.73858347 617.6372751 NA 157300 LEAST_CONCERN NA NA NA NA NA "Incilius canaliferus (Cope, 1877)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius cavifrons" Incilius Bufonidae Anura 27.9 88.2 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.006127695 0.169468447 0.09012158 0 25.10919652 2054.478668 1976.866311 73.62714074 60.96185966 NA 24200 ENDANGERED NA NA NA NA NA "Incilius cavifrons (Firschein, 1950)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius chompipe" Incilius Bufonidae NA NA 24.4 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.025144395 0.057922221 0.142750432 0 23.41113712 3450.747175 432.6351855 41.23679232 439.4073615 NA 24200 ENDANGERED 8.1 NA NA NA NA "Incilius chompipe (Vaughan & Mendelson, 2007)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius coccifer" Incilius Bufonidae Anura NA 99 4500 Oviparous NA NA NA Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 NA 0.009136109 0.144235725 0.17254037 0.000575319 24.63542964 1837.959376 804.6874623 79.36036303 400.3718368 NA 423500 LEAST_CONCERN 20 NA NA NA NA "Incilius coccifer (Cope, 1866)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius coniferus" Incilius Bufonidae Anura 44.4 95 3000 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 1 0 0.75 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.005227223 0.047856448 0.103897257 0.000321095 23.81661587 3616.330557 373.8426888 40.502316 419.9297704 NA 496100 LEAST_CONCERN NA NA NA NA NA "Incilius coniferus (Cope, 1862)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius cristatus" Incilius Bufonidae Anura NA 87.3 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.016821422 0.236658705 0.187814589 0.002296947 19.36146736 1333.617267 2217.789725 69.57265224 1181.52467 NA 48400 ENDANGERED NA NA NA NA NA "Incilius cristatus (Wiegmann, 1833)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius cycladen" Incilius Bufonidae Anura NA 62 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.00613567 0.101051469 0.244574947 0 20.8314583 1208.939606 1127.424342 103.1690256 1347.072066 NA 36300 VULNERABLE 19.35 NA NA NA NA "Incilius cycladen (Lynch & Smith, 1966)" SPECIES Incilius Bufonidae Anura Amphibia Chordata VULNERABLE
"Incilius epioticus" Incilius Bufonidae NA NA 22.1 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 1 0 0 0.25 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.002079594 0.040780832 0.069876976 0 20.77971094 3326.009269 458.7231117 48.47139799 795.9082277 NA 48400 VULNERABLE 7.7 NA NA NA NA "Incilius epioticus (Cope, 1875)" SPECIES Incilius Bufonidae Anura Amphibia Chordata VULNERABLE
"Incilius fastidiosus" Incilius Bufonidae Anura NA 62 87.5 Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.002332031 0.014537263 0.030186508 0 21.15897339 3045.196979 418.75881 35.91593923 660.7661853 NA 24200 CRITICALLY_ENDANGERED NA NA NA NA NA "Incilius fastidiosus (Cope, 1875)" SPECIES Incilius Bufonidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Incilius gemmifer" Incilius Bufonidae Anura NA 99.5 2000 Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.004405545 0.096225967 0.142275007 0 21.97969573 1250.402591 964.7364737 108.3735386 937.4671342 NA 48400 ENDANGERED NA NA NA NA NA "Incilius gemmifer (Taylor, 1940)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius guanacaste" Incilius Bufonidae NA NA 31.6 NA NA NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.002367235 0.084239853 0.15534499 0.005623067 25.99492138 1870.478753 611.8995136 77.66627671 116.7062912 NA 24200 ENDANGERED 10.9 NA NA NA NA "Incilius guanacaste (Vaughan & Mendelson, 2007)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius holdridgei" Incilius Bufonidae Anura 4.5 53 91 Oviparous 3 NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 4 NA 0.040067434 0.084274692 0.195291921 0 23.14793424 2959.944625 516.7126685 56.34609561 562.0022541 NA 12100 CRITICALLY_ENDANGERED NA NA NA NA NA "Incilius holdridgei (Taylor, 1952)" SPECIES Incilius Bufonidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Incilius ibarrai" Incilius Bufonidae Anura NA 94 3000 Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.019567438 0.197054882 0.135618532 0 20.54632891 1651.47773 1032.316174 82.07607592 1118.561208 NA 72600 LEAST_CONCERN 23 NA NA NA NA "Incilius ibarrai (Stuart, 1954)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius intermedius" Incilius Bufonidae Anura NA 86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0.5 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 4 NA 0.03822604 0.210992169 0.290643972 0 23.26070086 1468.09553 562.2883789 101.4781523 452.1741514 NA 24200 LEAST_CONCERN NA NA NA NA NA "Incilius occidentalis (Camerano, 1879)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius karenlipsae" Incilius Bufonidae Anura NA 89.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.008255495 0.154036541 0.197820776 0 25.04440386 2109.687625 515.922515 59.89172972 183.9050546 NA 12100 DATA_DEFICIENT 23.6 8.8 NA NA NA "Incilius karenlipsae Mendelson & Mulcahy, 2010" SPECIES Incilius Bufonidae Anura Amphibia Chordata DATA_DEFICIENT
"Incilius leucomyos" Incilius Bufonidae Anura NA 96 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.003676547 0.11457731 0.092710888 0 22.889364 1668.849026 1337.021761 48.80868236 574.1706415 NA 60500 NEAR_THREATENED 21.6 6.8 NA NA NA "Incilius leucomyos (McCranie & Wilson, 2000)" SPECIES Incilius Bufonidae Anura Amphibia Chordata NEAR_THREATENED
"Incilius luetkenii" Incilius Bufonidae Anura 75.65 107 4450 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.009989677 0.151978659 0.17971856 0.000382916 24.41207132 1645.929819 809.4285938 84.57978976 492.8716491 NA 302500 LEAST_CONCERN NA NA NA NA NA "Incilius luetkenii (Boulenger, 1891)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius macrocristatus" Incilius Bufonidae Anura NA 64.95 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.008656556 0.159427206 0.14049563 0 22.04317694 1766.416355 1488.140357 80.20545789 872.4160766 NA 121000 NEAR_THREATENED 23.18 8.6 NA NA NA "Incilius macrocristatus (Firschein & Smith, 1957)" SPECIES Incilius Bufonidae Anura Amphibia Chordata NEAR_THREATENED
"Incilius majordomus" Incilius Bufonidae NA NA 65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.002568494 0.008616034 0.022220814 0 21.34851371 2971.3924 411.9023569 32.997595 612.7022727 NA 12100 CRITICALLY_ENDANGERED 22.6 NA NA NA NA "Incilius majordomus Savage, Ugarte & Donnelly, 2013" SPECIES Incilius Bufonidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Incilius marmoreus" Incilius Bufonidae Anura 62 75 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 4 NA 0.003324869 0.100765601 0.129999272 0 22.99140394 1168.821138 1317.256481 105.6413558 700.8088443 NA 375100 LEAST_CONCERN NA NA NA NA NA "Incilius marmoreus (Wiegmann, 1833)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius mazatlanensis" Incilius Bufonidae Anura 70.17 86 NA Oviparous NA NA NA Nocturnal Carnivorous 1 0 NA 0 0 0 0 0 1 1 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.004334464 0.092052583 0.035770813 0.004197726 22.58671882 970.0502594 2878.278029 112.3789172 570.80871 NA 278300 LEAST_CONCERN NA NA NA NA NA "Incilius mazatlanensis (Taylor, 1940)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius mccoyi" Incilius Bufonidae NA NA 77.51 NA NA NA NA NA Nocturnal NA NA NA NA NA NA NA NA NA NA NA NA 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.000150003 0.075819738 0.027008823 0 14.78259259 757.6182716 4682.395309 89.51518519 1965.133951 NA 12100 LEAST_CONCERN 23.34 8.83 NA NA NA "Incilius mccoyi Santos-Barrera & Flores-Villela, 2011" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius melanochlorus" Incilius Bufonidae Anura NA 106.7 NA Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.019917197 0.055839003 0.132684488 0.000800729 23.71696823 3343.345984 439.197287 42.63230398 387.9141732 NA 108900 LEAST_CONCERN 25.2 NA NA NA NA "Incilius melanochlorus (Cope, 1877)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius nebulifer" Incilius Bufonidae Anura 46.64 125 2817.5 Oviparous 2 NA 8 Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 5 NA 0.012349715 0.118518528 0.09961601 0.170914089 20.82642346 947.0907501 5824.133128 38.23364555 261.8533418 NA 1064800 LEAST_CONCERN NA NA NA NA NA "Incilius nebulifer (Girard, 1854)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius occidentalis" Incilius Bufonidae Anura 121.5 86 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 4 NA 0.014176192 0.100655439 0.114429558 0.096066722 18.57072053 867.3635722 2403.757286 96.87797302 1701.60503 NA 641300 LEAST_CONCERN NA NA NA NA NA "Incilius occidentalis (Camerano, 1879)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius periglenes" Incilius Bufonidae Anura NA 56 400 Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 1 1 0 0 0 0.25 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.040067434 0.084274692 0.195291921 0 23.14793424 2959.944625 516.7126685 56.34609561 562.0022541 NA 12100 EXTINCT NA NA NA NA NA "Incilius periglenes (Savage, 1967)" SPECIES Incilius Bufonidae Anura Amphibia Chordata EXTINCT
"Incilius peripatetes" Incilius Bufonidae Anura NA 72.3 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.002696959 0.036001953 0.124644944 0 22.52945693 2632.75449 535.9656281 48.02120449 483.1335276 NA 24200 CRITICALLY_ENDANGERED NA NA NA NA NA "Incilius peripatetes (Savage, 1972)" SPECIES Incilius Bufonidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Incilius perplexus" Incilius Bufonidae Anura NA 66 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.012261269 0.094661197 0.122007182 0 20.58795638 960.5396626 1693.299996 104.6630919 1325.732221 NA 48400 LEAST_CONCERN NA NA NA NA NA "Incilius perplexus (Taylor, 1943)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius pisinnus" Incilius Bufonidae Anura NA 62 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 3 NA 0.008292669 0.09599499 0.117267836 0 21.52401829 955.7914633 1508.063536 105.0882049 1093.246141 NA 24200 ENDANGERED 16.95 NA NA NA NA "Incilius pisinnus (Mendelson, Williams, Sheil & Mulcahy, 2005)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius porteri" Incilius Bufonidae Anura NA 76 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 3 NA 0.013345174 0.091144284 0.156213433 0 21.44019869 1292.797405 1086.690118 77.95412181 1050.322665 NA 60500 LEAST_CONCERN 18.8 NA NA NA NA "Incilius porteri (Mendelson, Williams, Sheil & Mulcahy, 2005)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius signifer" Incilius Bufonidae Anura NA 77 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.005315855 0.09627267 0.198854279 0 24.38574872 2297.502438 601.6973431 61.42140541 256.2014604 NA 48400 LEAST_CONCERN 20 NA NA NA NA "Incilius signifer (Mendelson, Williams, Sheil & Mulcahy, 2005)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Incilius spiculatus" Incilius Bufonidae Anura NA 102.7 NA Oviparous NA NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.011184075 0.060249024 0.12610205 0 18.2324537 1848.76541 1779.742526 80.01739418 1564.952612 NA 12100 ENDANGERED NA NA NA NA NA "Incilius spiculatus (Mendelson, 1997)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius tacanensis" Incilius Bufonidae Anura NA 53 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.020359827 0.123514948 0.108778736 0 20.70330829 2447.632905 849.2428106 78.43888219 1112.674438 NA 36300 ENDANGERED NA NA NA NA NA "Incilius tacanensis (Smith, 1952)" SPECIES Incilius Bufonidae Anura Amphibia Chordata ENDANGERED
"Incilius tutelarius" Incilius Bufonidae Anura NA 103.6 NA Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 0 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.00971468 0.146932333 0.113157761 0 23.12097298 1767.700273 1128.281444 91.54123967 690.9754277 NA 60500 VULNERABLE NA NA NA NA NA "Incilius tutelarius (Mendelson, 1997)" SPECIES Incilius Bufonidae Anura Amphibia Chordata VULNERABLE
"Incilius valliceps" Incilius Bufonidae Anura 60 125 27 Oviparous 1.4 NA NA Diurnal NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 NA 0.006313672 0.118397757 0.088216781 0.00037057 23.8516695 1915.089123 1386.871937 65.42170882 439.376744 NA 1028500 LEAST_CONCERN NA NA NA NA NA "Incilius valliceps (Wiegmann, 1833)" SPECIES Incilius Bufonidae Anura Amphibia Chordata LEAST_CONCERN
"Indirana beddomii" Indirana Ranixalidae Anura NA 60.1 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007792711 0.261481732 0.017921344 0.0000575639 25.15113662 2541.913493 1485.739401 115.8467435 458.7370363 NA 242000 ENDANGERED 12.391666665 3.8666666665 3.0666666665 3.15 3.0125 "Indirana beddomii (Günther, 1876)" SPECIES Indirana Ranixalidae Anura Amphibia Chordata ENDANGERED
"Indirana bhadrai" Indirana Ranixalidae NA NA 34.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.2 4.2 3.25 NA 3 "Indirana bhadrai Garg & Biju, 2016" SPECIES Indirana Ranixalidae Anura Amphibia Chordata DATA_DEFICIENT
"Indirana brachytarsus" Indirana Ranixalidae Anura NA 58 NA Oviparous NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 0 0 0.5 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 NA 0.007958203 0.166135779 0.012669444 0 25.02958284 2482.479443 1218.154715 98.08193978 488.1417921 NA 72600 LEAST_CONCERN 11.204761905 3.1785714285 2.8880952385 2.8833333335 2.719047619 "Indirana brachytarsus (Günther, 1876)" SPECIES Indirana Ranixalidae Anura Amphibia Chordata LEAST_CONCERN
