"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Agrion xanthostoma" "Agrion xanthostoma Charpentier, 1825" "SPECIES" "homotypic synonym" "Calopteryx xanthostoma (Charpentier, 1825)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 931702.9978974 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 29.5 "strong" "territorial" 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 0.75 0 1 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Anax ephippiger" "Anax ephippiger (Burmeister, 1839)" "SPECIES" "accepted" "Anax ephippiger (Burmeister, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45416317.9594805 65.5 NA NA 61 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 2 0 0 1 0 0 NA 44.5 "weak" NA 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 43 42 44 1 0 0 1 "oligotop" "NO"
"Anax immaculifrons" "Anax immaculifrons Rambur, 1842" "SPECIES" "accepted" "Anax immaculifrons Rambur, 1842" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 84 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 57 "weak" "territorial" 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Anax imperator" "Anax imperator Leach, 1815" "SPECIES" "accepted" "Anax imperator Leach, 1815" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46687702.4274556 75 NA NA 66 84 NA 360 NA NA NA 0.164383561643836 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.708333333333333 NA 0 1 1 0 0 0.81786941580756 NA 2 0 1 1 0 0 NA 48.5 "strong" NA 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 52.5 45 60 1 0 1 0 "eurytop" "NO"
"Anax junius" "Anax junius (Drury, 1773)" "SPECIES" "accepted" "Anax junius (Drury, 1773)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 1 0 0 1 NA 50.5 "strong" NA 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Anax parthenope" "Anax parthenope (Selys, 1839)" "SPECIES" "accepted" "Anax parthenope (Selys, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68.5 NA NA 62 75 NA 720 NA NA NA NA 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 1 1 0 0 0 0.924398625429553 NA 2 0 1 1 1 0 NA 48 "strong" NA 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 52.5 48 57 1 0 0 0 "oligotop" "NO"
"Boyeria cretensis" "Boyeria cretensis Peters, 1991" "SPECIES" "accepted" "Boyeria cretensis Peters, 1991" "Boyeria" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8289.68124989559 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 45 "weak" NA 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Boyeria irene" "Boyeria irene (Fonscolombe, 1838)" "SPECIES" "accepted" "Boyeria irene (Fonscolombe, 1838)" "Boyeria" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 67 NA NA 63 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 NA NA 2 0 1 0 0 1 NA 42 "weak" NA 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 34 41 1 1 0 0 "stenotop" "NO"
"Brachythemis leucosticta" "Brachythemis leucosticta (Burmeister, 1839)" "SPECIES" "accepted" "Brachythemis leucosticta (Burmeister, 1839)" "Brachythemis" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12874834.4548743 27.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 1 0 1 0 0 NA 24 "strong" "non-territorial" 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 "yes" "stripes" "symmetric" "weakly" 0.25 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Brachytron pratense" "Brachytron pratense (Müller, 1764)" "SPECIES" "accepted" "Brachytron pratense (Müller, 1764)" "Brachytron" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 58.5 NA NA 54 63 NA 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 0 0 0 0.429553264604811 NA 2 0 1 0 0 0 NA 35.5 "strong" NA 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 37.5 35 40 1 1 1 0 "oligotop" "NO"
"Caliaeschna microstigma" "Caliaeschna microstigma (Schneider, 1845)" "SPECIES" "accepted" "Caliaeschna microstigma (Schneider, 1845)" "Caliaeschna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Calopteryx haemorrhoidalis" "Calopteryx haemorrhoidalis (Vander Linden, 1825)" "SPECIES" "accepted" "Calopteryx haemorrhoidalis (Vander Linden, 1825)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 30 "strong" NA 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 "yes" NA "symmetric" "strongly" 0.87 0 1 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Calopteryx splendens" "Calopteryx splendens (Harris, 1780)" "SPECIES" "accepted" "Calopteryx splendens (Harris, 1780)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5287293.60840565 46.5 NA NA 45 48 883 720 NA NA NA 0.189041095890411 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 1 NA 1 1 1 0 0 0.560137457044673 NA 2 0 0 0 1 1 NA 31.5 "strong" "territorial" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "yes" NA "symmetric" "strongly" 0.65 0 1 0 0 1 0 0 0 0 21 19 23 0 1 0 0 "stenotop" "NO"
"Calopteryx splendens aggr." "Calopteryx splendens (Harris, 1780)" "AGGREGATE" "accepted" "Calopteryx splendens (Harris, 1780)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5287293.60840565 46.5 NA NA 45 48 883 720 NA NA NA 0.189041095890411 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 1 NA 0 1 1 0 0 0.560137457044673 NA 2 0 0 0 1 1 NA 31.5 "strong" "territorial" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 0.65 0 1 0 0 1 0 0 0 0 21 19 23 0 1 0 0 "stenotop" "NO"
"Calopteryx splendens subsp. caprai" "Calopteryx splendens caprai Conci, 1956" "SUBSPECIES" "synonym" "Calopteryx splendens (Harris, 1780)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5287293.60840565 46.5 NA NA 45 48 883 720 NA NA NA 0.189041095890411 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 1 NA 1 1 0 0 0 0.560137457044673 NA 2 0 0 0 1 1 NA 31.5 "strong" "territorial" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 0.65 0 1 0 0 1 0 0 0 0 21 19 23 0 1 0 0 "stenotop" "NO"
"Calopteryx splendens subsp. splendens" "Calopteryx splendens splendens" "SUBSPECIES" "accepted" "Calopteryx splendens splendens" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" NA "LC" NA NA 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 46.5 NA NA 45 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 1 0 0 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21 19 23 0 1 0 NA "stenotop" "NO"
"Calopteryx virgo" "Calopteryx virgo (Linnaeus, 1758)" "SPECIES" "accepted" "Calopteryx virgo (Linnaeus, 1758)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7762069.08965077 47 NA NA 45 49 NA 720 NA NA NA 0.13972602739726 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.833333333333333 NA 1 1 1 0 0 0.515463917525773 NA 2 0 0 0 0 1 NA 30 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 "yes" NA "symmetric" "strongly" 1 0 1 0 0 1 0 0 0 0 20 17 23 0 1 0 0 "stenotop" "NO"
"Calopteryx virgo aggr." "Calopteryx virgo (Linnaeus, 1758)" "AGGREGATE" "accepted" "Calopteryx virgo (Linnaeus, 1758)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7762069.08965077 47 NA NA 45 49 NA 720 NA NA NA 0.13972602739726 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.833333333333333 NA 0 1 1 0 0 0.515463917525773 NA 2 0 0 0 0 1 NA 30 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 1 0 1 0 0 1 0 0 0 0 20 17 23 0 1 0 0 "stenotop" "NO"
"Calopteryx virgo subsp. meridionalis" "Calopteryx virgo meridionalis Selys, 1873" "SUBSPECIES" "synonym" "Calopteryx virgo (Linnaeus, 1758)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7762069.08965077 47 NA NA 45 49 NA 720 NA NA NA 0.13972602739726 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.833333333333333 NA 1 1 1 0 0 0.515463917525773 NA 2 0 0 0 0 1 NA 30 "strong" NA 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 "Yes" NA "symmetric" "strongly" 1 0 1 0 0 1 0 0 0 0 20 17 23 0 1 0 0 "stenotop" "NO"
"Calopteryx virgo subsp. virgo" "Calopteryx virgo virgo" "SUBSPECIES" "accepted" "Calopteryx virgo virgo" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" NA "LC" NA NA 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 47 NA NA 45 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 17 23 0 1 0 NA "stenotop" "NO"
"Calopteryx xanthostoma" "Calopteryx xanthostoma (Charpentier, 1825)" "SPECIES" "accepted" "Calopteryx xanthostoma (Charpentier, 1825)" "Calopteryx" "Calopterygidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 931702.9978974 46.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 29.5 "strong" "territorial" 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 "yes" NA "symmetric" "strongly" 0.75 0 1 0 0 1 0 0 0 0 NA NA NA NA NA NA NA NA "NO"
"Cercion lindenii" "Cercion lindenii (Sélys, 1840)" "SPECIES" "synonym" "Erythromma lindenii (Selys, 1840)" "Erythromma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "DATA_DEFICIENT" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1649385.10058268 33 NA NA 30 36 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 1 1 0 0 0 NA NA 2 0 1 0 1 0 NA 20 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 20 18 22 1 1 0 0 "oligotop" "NO"
"Ceriagrion georgifreyi" "Ceriagrion georgifreyi Schmidt, 1953" "SPECIES" "accepted" "Ceriagrion georgifreyi Schmidt, 1953" "Ceriagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "CR" "ENDANGERED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36300.3469257225 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Ceriagrion tenellum" "Ceriagrion tenellum (de Villers, 1789)" "SPECIES" "accepted" "Ceriagrion tenellum (de Villers, 1789)" "Ceriagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "LC" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 24 NA NA 25 23 NA 720 NA NA NA 0.0821917808219178 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 1 1 0 0 0 NA NA 2 0 0 0 0 1 NA 19 "strong" "non-territorial" 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 16.5 16 17 1 1 1 0 "oligotop" "NO"
"Chalcolestes viridis" "Chalcolestes viridis (Vander Linden, 1825)" "SPECIES" "accepted" "Chalcolestes viridis (Vander Linden, 1825)" "Chalcolestes" "Lestidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3964317.67522152 43.5 NA NA 39 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 1 1 0 0 0 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 25.5 23 28 1 1 1 0 "eurytop" "NO"
"Coenagrion armatum" "Coenagrion armatum (Charpentier, 1840)" "SPECIES" "accepted" "Coenagrion armatum (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1375997.8346687 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 NA 19 "strong" NA 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion caerulescens" "Coenagrion caerulescens (Fonscolombe, 1838)" "SPECIES" "accepted" "Coenagrion caerulescens (Fonscolombe, 1838)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 854343.727660359 31.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 17.5 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion ecornutum" "Coenagrion ecornutum (Selys, 1872)" "SPECIES" "accepted" "Coenagrion ecornutum (Selys, 1872)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "DD" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 486507.938713665 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion hastulatum" "Coenagrion hastulatum (Charpentier, 1825)" "SPECIES" "accepted" "Coenagrion hastulatum (Charpentier, 1825)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5275562.07993289 32 NA NA 31 33 NA 360 NA NA NA 0.0876712328767123 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.125 NA 0 1 1 1 0 0.206185567010309 NA 1 0 1 1 0 0 NA 19 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 20 19 21 1 0 1 2 "stenotop" "NO"
