"species" "scientificName" "taxonRank" "gbif_status" "gbif_accepted" "genus" "family" "order" "class" "phylum" "group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Foraging_strata" "BMR"
"Apodemus uralensis" "Apodemus uralensis (Pallas, 1811)" "SPECIES" "accepted" "Apodemus uralensis (Pallas, 1811)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 0 0 0 0 0 1 1 NA NA NA NA NA NA 1 0 NA NA 0 9196000 23.39 102 5.2 "Viviparous" 0.194520547945205 0.258728767123288 6.325 "Cathemeral" NA NA NA NA NA NA NA NA 0.5 3 NA 0.00283325 0.148655071 0.045816154 0.153276674 5.437079758 446.8628277 10646.63221 37.46971284 574.5854211 0.134 NA NA
"Apodemus witherbyi" "Apodemus witherbyi (Thomas, 1902)" "SPECIES" "accepted" "Apodemus witherbyi (Thomas, 1902)" "Apodemus" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 0 NA NA NA NA NA NA 0 1 NA NA 0 2444200 30 NA 4.5 "Viviparous" NA NA NA "Nocturnal" "Herbivorous" 1 0 0 1 0 1 1 0.5 1 3 0.005680404 0.17095122 0.063768096 0.038578403 11.26510685 557.8501305 8280.995252 49.42430942 1041.307803 0.125 1 48.9
"Arctomys fulvus" "Arctomys fulvus Lichtenstein, 1823" "SPECIES" "homotypic synonym" "Spermophilus fulvus (Lichtenstein, 1823)" "Spermophilus" "Sciuridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola amphibius" "Arvicola amphibius (Linnaeus, 1758)" "SPECIES" "accepted" "Arvicola amphibius (Linnaeus, 1758)" "Arvicola" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "SPEED2ZERO" "INN" "No" "LC" "LC" "NEAR_THREATENED" 1 1 0 1 1 1 0 0 1 1 0 1 1 NA NA NA NA NA NA 1 0 NA NA 0 19323700 225 185 4.92 "Viviparous" 0.13972602739726 1 5 "Cathemeral" "Herbivorous" 0 0 0 1 0 0 1 0.25 5 9 0.003102747 0.09927608 0.03288415 0.05716493 3.425953429 538.6262227 10849.07837 37.22969335 348.9325824 0.313 1 113.1
"Arvicola arenicola subsp. arenicola" "Arvicola arenicola de Selys-Longchamps, 1841" "SUBSPECIES" NA "unresolved_accepted_2080" "Arvicola" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola duodecimcostatus" "Arvicola duodecimcostatus Selys-Longchamps, 1839" "SPECIES" "homotypic synonym" "Microtus duodecimcostatus (Selys-Longchamps, 1839)" "Microtus" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola gerbei" "Arvicola gerbii Gerbe, 1879" "SPECIES" "synonym" "Microtus gerbei (Gerbe, 1879)" "Microtus" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola italicus" "Arvicola italicus (Savi, 1838)" "SPECIES" "accepted" "Arvicola italicus (Savi, 1838)" "Arvicola" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "SPEED2ZERO" "INN" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola levernedii" "Arvicola levernedii Crespon, 1844" "SPECIES" "synonym" "Microtus agrestis (Linnaeus, 1761)" "Microtus" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Arvicola levernedii subsp. levernedii" "Arvicola levernedii Crespon, 1844" "SUBSPECIES" "synonym" "Microtus agrestis (Linnaeus, 1761)" "Arvicola" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
