"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Venomous" "Dorsal_colour" "Dorsal_pattern" "Foraging_mode" "Shape_pupil" "Fangs" "Sex_determinism" "Body_temp" "MISSING_ALL_TRAITS"
"Archaeolacerta mosorensis" "Archaeolacerta mosorensis (Kolombatovic, 1886)" "SPECIES" "accepted" "Archaeolacerta mosorensis (Kolombatovic, 1886)" "Archaeolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA NA 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 774884 341.37670433424 148.536 6.0106 "oviparous" NA 2.26 11.224 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0.49 3.68 NA 0.0055238116 0.13817313756 0.06594349942 0.012334412424 13.558052534 714.503907358 5186.78862688 19.34594664 949.02 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 30.312 "YES"
"Archaeolacerta oxycephala" "Archaeolacerta oxycephala (Duméril & Bibron, 1839)" "SPECIES" "homotypic synonym" "Dalmatolacerta oxycephala (Schlegel, 1839)" "Dalmatolacerta" "Lacertidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 157300 8.128305162 70.6 3.4 "oviparous" NA 1.79366666666667 3.9 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0.5 3 NA 0.002682418 0.082286714 0.07980026 0 11 1308.124664 6743.9 19.689252 800 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 33.1 "NO"
"Blanus cinereus" "Blanus cinereus Vandelli, 1797" "SPECIES" "accepted" "Blanus cinereus Vandelli, 1797" "Blanus" "Amphisbaenidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 556600 16.59586907 254 2 "oviparous" NA 2.145 16 "Cathemeral" "Omnivorous" 1 1 0 1 0 0 1 0 4 NA 0.007237356 0.222273227 0.058874947 0 13.96 610.125025 6133 28.844649 1000 NA "No" "Brown/Gray" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 22.8 "NO"
"Blanus strauchi" "Blanus strauchi (Bedriaga, 1884)" "SPECIES" "accepted" "Blanus strauchi (Bedriaga, 1884)" "Blanus" "Amphisbaenidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "LEAST_CONCERN" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 592900 9.77237221 212 1.5 "oviparous" NA 3 23 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0 2 NA 0.006567033 0.200419892 0.072796645 0.008896434 14.6960156 639.2175797 5791.144 18.663327 675 NA "No" "Black/Brown" "Blotched" "AMB" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 23.588 "NO"
"Callopeltis lineata" "Callopeltis lineata Camerano, 1891" "SPECIES" "homotypic synonym" "Elaphe lineata (Camerano, 1891)" "Elaphe" "Colubridae" "Squamata" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA NA 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 4298404 248.989841111236 473.14 7.2588 "oviparous" NA 2.82 11.784 "Diurnal" "Carnivorous" 0 1 0 0 0 0 0 0.53 4.2 NA 0.004761543416 0.13131710084 0.04787888768 0.0719022374 13.7590781156 508.311597308 2651.402212 8.3317448272 1245.76 NA "No" "Black/Brown" "Banded/blotched" "ACT" "round (or oval)" "rear-fanged" "GSD (ZW/ZZ)" 27.6748 "YES"
"Caretta caretta" "Caretta caretta (Linnaeus, 1758)" "SPECIES" "accepted" "Caretta caretta (Linnaeus, 1758)" "Caretta" "Cheloniidae" "Testudines" "Reptilia" "Chordata" "Reptiles" "FaunaEuropeae" NA NA NA NA "ENDANGERED" 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32682100 250000 2130 115 "oviparous" NA 3.1 76 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0.5 3 NA 0.005816872 0.078823905 0.103677467 0.027876482 12.9297530032 1634.930682 954.426452 19.86982608 242.0813702 NA "No" "Brown/Yellow" "Uniform" "ACT" "round (or oval)" "non-fanged" "TSD" 27.51 "NO"
"Chalcides bedriagai" "Chalcides bedriagai (Bosca, 1880)" "SPECIES" "accepted" "Chalcides bedriagai (Bosca, 1880)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 653400 19.95262315 97.8 2.435 "viviparous" NA 1.46266666666667 6.64533333333333 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0 4 NA 0.006890748 0.214137868 0.059440032 0 13.86 633.6636252 5968.2 23.165025 950 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 28.5 "NO"
"Chalcides chalcides" "Chalcides chalcides (Linnaeus, 1758)" "SPECIES" "accepted" "Chalcides chalcides (Linnaeus, 1758)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 629200 33.88441561 210 7.4 "viviparous" NA 1.75 4 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 0 0.25 5 NA 0.010779858 0.180641922 0.043708354 0.000879458 14.56 685.53079 5991.7 21.74347 1150 NA "No" "Black/Brown" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 27.5964 "NO"
"Chalcides ocellatus" "Chalcides ocellatus (Forskal, 1775)" "SPECIES" "accepted" "Chalcides ocellatus (Forskal, 1775)" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 12838100 97.7237221 159.8 6.5 "viviparous" NA 2.33333333333333 14 "Cathemeral" "Carnivorous" 1 0 0 0 0 0 1 0.5 7 NA 0.002507618 0.055055128 0.008486082 0.171947207 21.32 188.3340248 5979.9 55.932611 1065 NA "No" "Yellow" "Banded/blotched" "Mixed" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 32.25 "NO"
"Chalcides parallelus" "Chalcides parallelus Doumergue, 1901" "SPECIES" "accepted" "Chalcides parallelus Doumergue, 1901" "Chalcides" "Scincidae" "Squamata" "Reptilia" "Chordata" "Reptiles" "EEA" NA "No" NA NA "ENDANGERED" 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 36300 16.21810097 91.5 3.5 "viviparous" NA 1.72833333333333 12.952 "Diurnal" "Carnivorous" 1 0 0 0 0 0 0 0.25 2 NA 0.004206592 0.242642708 0 0 16.685444402 360.4321053 5131.07986728 23.446898 5 NA "No" "Brown/Yellow" "Blotched" "ACT" "round (or oval)" "non-fanged" "GSD (ZW/ZZ)" 31.6336 "NO"
